Event ID: 0, Int: 0
Parameters: {} ()
      0 Set Character Team Type (Entity ID: 10000, Team Type: Human)
      1 Initialize Event (Event ID: 12905400, Slot Number: 0, Arguments: {2900251, 2910200, 301008005, 2901287, 12905400})
      2 Initialize Event (Event ID: 12905400, Slot Number: 2, Arguments: {2900429, 2910200, 301008005, 2901289, 12905402})
      3 Initialize Event (Event ID: 12905400, Slot Number: 4, Arguments: {2900254, 2910200, 301008005, 2901283, 12905404})
      4 Initialize Event (Event ID: 12905400, Slot Number: 5, Arguments: {2900255, 2910200, 301008005, 2901284, 12905405})
      5 Initialize Event (Event ID: 12905400, Slot Number: 6, Arguments: {2900256, 2910200, 301008005, 2901285, 12905406})
      6 Initialize Event (Event ID: 12905400, Slot Number: 7, Arguments: {2900354, 2910200, 301008005, 2901293, 12905407})
      7 Initialize Event (Event ID: 12905400, Slot Number: 8, Arguments: {2900364, 2910200, 301008005, 2901300, 12905408})
      8 Initialize Event (Event ID: 12905400, Slot Number: 9, Arguments: {2900365, 2910200, 301008005, 2901301, 12905409})
      9 Initialize Event (Event ID: 12900087, Slot Number: 0, Arguments: {2910200})
     10 Initialize Event (Event ID: 12900000, Slot Number: 0, Arguments: {2901079, 12900360, 2910200, 12900000})
     11 Initialize Event (Event ID: 12900000, Slot Number: 2, Arguments: {2901068, 12900362, 2910200, 12900002})
     12 Initialize Event (Event ID: 12900000, Slot Number: 3, Arguments: {2901073, 12900363, 2910200, 12900003})
     13 Initialize Event (Event ID: 12900000, Slot Number: 6, Arguments: {2901075, 12900366, 2910200, 12900006})
     14 Initialize Event (Event ID: 12900000, Slot Number: 7, Arguments: {2901078, 12900367, 2910200, 12900007})
     15 Initialize Event (Event ID: 12900000, Slot Number: 9, Arguments: {2901080, 12900369, 2910200, 12900008})
     16 Initialize Event (Event ID: 12900023, Slot Number: 2, Arguments: {2901057, 12900381, 9921, 19921, 2910200, 12900025})
     17 Initialize Event (Event ID: 12900200, Slot Number: 0, Arguments: {2901150, 12900384, 9921, 19921})
     18 Initialize Event (Event ID: 12900200, Slot Number: 1, Arguments: {2901151, 12900385, 9921, 19921})
     19 Initialize Event (Event ID: 12900200, Slot Number: 2, Arguments: {2901561, 12900386, 9921, 19921})
     20 Initialize Event (Event ID: 12900200, Slot Number: 3, Arguments: {2901152, 12900387, 9921, 19921})
     21 Initialize Event (Event ID: 12900230, Slot Number: 2, Arguments: {2901532, 12900402})
     22 Initialize Event (Event ID: 12900230, Slot Number: 3, Arguments: {2901533, 12900403})
     23 Initialize Event (Event ID: 12900230, Slot Number: 4, Arguments: {2901534, 12900404})
     24 Initialize Event (Event ID: 12900230, Slot Number: 5, Arguments: {2901071, 12900405})
     25 Initialize Event (Event ID: 12900230, Slot Number: 7, Arguments: {2901076, 12900407})
     26 Initialize Event (Event ID: 12900230, Slot Number: 9, Arguments: {2901535, 12900409})
     27 Initialize Event (Event ID: 12900230, Slot Number: 11, Arguments: {2901074, 12900364})
     28 Initialize Event (Event ID: 12900230, Slot Number: 12, Arguments: {2901537, 12900411})
     29 Initialize Event (Event ID: 12900910, Slot Number: 0, Arguments: {12900380, 2001, 10010860, 2901054, 9930, 19930})
     30 Initialize Event (Event ID: 12900900, Slot Number: 0, Arguments: {2900890, 2900891})
     31 Initialize Event (Event ID: 12900900, Slot Number: 1, Arguments: {2900891, 2900890})
     32 Initialize Event (Event ID: 12900900, Slot Number: 2, Arguments: {2900892, 2900893})
     33 Initialize Event (Event ID: 12900900, Slot Number: 3, Arguments: {2900893, 2900892})
     34 Initialize Event (Event ID: 12900029, Slot Number: 0, Arguments: {2901010, 2905514})
     35 Initialize Event (Event ID: 12900029, Slot Number: 1, Arguments: {2901011, 2905515})
     36 Initialize Event (Event ID: 12900029, Slot Number: 2, Arguments: {2901012, 2905516})
     37 Initialize Event (Event ID: 12900029, Slot Number: 3, Arguments: {2901013, 2905517})
     38 Initialize Event (Event ID: 12900029, Slot Number: 4, Arguments: {2901014, 2905518})
     39 Initialize Event (Event ID: 12900029, Slot Number: 5, Arguments: {2901015, 2905519})
     40 Initialize Event (Event ID: 12900029, Slot Number: 6, Arguments: {2901019, 2905520})
     41 Initialize Event (Event ID: 12900029, Slot Number: 7, Arguments: {2901020, 2905521})
     42 Initialize Event (Event ID: 12900029, Slot Number: 8, Arguments: {2901021, 2905522})
     43 Initialize Event (Event ID: 12900029, Slot Number: 9, Arguments: {2901022, 2905523})
     44 Initialize Event (Event ID: 12900029, Slot Number: 10, Arguments: {2901023, 2905524})
     45 Initialize Event (Event ID: 12900029, Slot Number: 11, Arguments: {2901024, 2905525})
     46 Initialize Event (Event ID: 12900029, Slot Number: 12, Arguments: {2901025, 2905526})
     47 Initialize Event (Event ID: 12900029, Slot Number: 13, Arguments: {2901026, 2905527})
